attempt_id	attempted_at	platform	command_or_url	status	result	next_action
YT_OFFICIAL_20260708	2026-07-08	YouTube	python3 -m yt_dlp --flat-playlist --dump-json "https://www.youtube.com/@liuhuiyumaoqiu/videos"	blocked	Connection reset by peer after retries; produced zero JSONL rows	Use search-indexed public pages and retry metadata import from a network that can reach YouTube.
YT_INITIAL_G_20260708	2026-07-08	YouTube	python3 -m yt_dlp --flat-playlist --dump-json "https://www.youtube.com/@initial-G_badminton/videos"	blocked	Connection reset by peer after retries; produced zero JSONL rows	Verify canonical handle and retry metadata import from a network that can reach YouTube.
YT_CHANNEL_RSS_20260708	2026-07-08	YouTube	curl -L --retry 2 --max-time 20 "https://www.youtube.com/feeds/videos.xml?channel_id=UCPs57K-4ykgxxf7BFGldegQ"	blocked	Connection reset by peer; RSS metadata could not be fetched	Use non-YouTube public mirrors/search indexes or retry from a network that can reach YouTube.
YT_HANDLE_SEARCH_20260708	2026-07-08	YouTube	web search for "site:youtube.com/@liuhuiyumaoqiu Liu Hui Badminton videos"	partial	Public search result displayed @liuhuiyumaoqiu with channel id UCYFt9IXV8XwacWxhZFpPsTQ and about 1.3K videos; direct metadata still blocked	Use this channel id for future compliant metadata export from a network that can reach YouTube.
YT_CANONICAL_ID_20260708	2026-07-08	YouTube	python3 -m yt_dlp --flat-playlist --dump-json --extractor-args "youtube:player_client=web,android" "https://www.youtube.com/channel/UCYFt9IXV8XwacWxhZFpPsTQ/videos"	blocked	Connection reset by peer after retries; produced zero JSONL rows	Retry from network with YouTube access or use platform-provided export/API; do not claim full YouTube metadata completion.
YT_CANONICAL_RSS_20260708	2026-07-08	YouTube	curl -L --retry 1 --max-time 20 "https://www.youtube.com/feeds/videos.xml?channel_id=UCYFt9IXV8XwacWxhZFpPsTQ"	blocked	Connection reset by peer; RSS metadata could not be fetched	Retry from network with YouTube access.
BILI_SEASON_DISCOVERY_20260708	2026-07-08	Bilibili	https://api.bilibili.com/x/web-interface/view?bvid=<existing-source-index-bvid>	success	Public view API scan found seven UGC seasons: 1310095, 1536854, 1536695, 1536706, 1578045, 4029240, 1300706	Converted public episode metadata into source-index rows; timestamp review remains required.
BILI_SPACE_WBI_20260708	2026-07-08	Bilibili	https://api.bilibili.com/x/space/wbi/arc/search	blocked	Returned Bilibili 412 security-control response for user-space archive enumeration	Use public view/season APIs and verified list/favorite APIs; retry user-space only with compliant browser session.
BILI_SPACE_ARC_20260708	2026-07-08	Bilibili	https://api.bilibili.com/x/space/arc/search	blocked	Returned code -799 too frequent during user-space archive enumeration	Use slower authenticated/public API workflow if permitted.
DOUYIN_PROFILE_20260708	2026-07-08	Douyin	curl -L --retry 1 --max-time 20 "https://www.douyin.com/user/MS4wLjABAAAAWjdIB0hVVck6qakdyvxT4JskFqaWqBPA0cLVKNAXCX8"	blocked	Public HTTP request returned 404/dynamic page; no stable video metadata export obtained	Use browser-verified export or official/platform-compliant API before adding per-video Douyin rows.
DOUYIN_PROFILE_20260710	2026-07-10	Douyin	curl -L --retry 1 --max-time 20 -I "https://www.douyin.com/user/MS4wLjABAAAAWjdIB0hVVck6qakdyvxT4JskFqaWqBPA0cLVKNAXCX8"	blocked	Public profile request still returned HTTP 404/dynamic content; no stable per-video metadata export obtained	Keep Douyin outside parsed coverage until a compliant browser or platform export provides stable video ids.
INSTAGRAM_REEL_20260710	2026-07-10	Instagram	curl and yt-dlp public reel retry	blocked	Direct HTTP timed out twice and yt-dlp timed out while fetching the indexed public reel	Keep the reel as discovery-level context only; do not count it as parsed video evidence.
